pattern_id	pattern_ja	meaning_en	example_ja	example_en	common_mistake_ja	common_mistake_en	cultural_callout
n5-001		Polite copula / polite verb ending	わたしは がくせいです。	I am a student.	わたしは がくせいです じゃありません。	Don't combine です and じゃありません. Use じゃありません alone for the polite negative of nouns / な-adjectives.	です/ます (polite affirmative) is the DEFAULT register in business, classrooms, customer-facing situations, and any first encounter. Switching to plain だ/だ.ない is reserved for close friends, family, internal thoughts, or written casual contexts. Mismatching the register is the single most common foreigner mistake.
n5-002		Topic marker - introduces what the sentence is about (already-known information)	わたしは がくせいです。	I am a student.	わたしわ がくせいです。	The topic particle is always written with the kana は (ha) even though it's pronounced 'wa'. Don't write わ.	は (topic) is overused by learners as a generic "subject" marker. Native speakers DROP は when the topic is obvious from context (most natural in casual speech: "コーヒー、好き？" instead of "コーヒーは好きですか？"). Over-use of は signals foreign-learner speech.
n5-003		Subject marker - marks new information, focus, or the subject of certain stative verbs/adjectives	だれが きましたか。	Who came?	ねこを すきです。	すき (like) takes が, never を - even though English uses 'I LIKE cats' with cats as the object. Same rule for きらい, わかる, できる, ほしい.	が (subject) marks NEW information or contrast. Native ear distinguishes "山田さんは行きます" (topic-known) vs "山田さんが行きます" (it's Yamada — emphasizing identity) instinctively. Over-using は where が is needed signals foreign speech.
n5-004		Direct object marker - marks the noun receiving the action of a transitive verb	ほんを よみます。	I read a book.	ともだちを あいました。	あう (to meet) is intransitive in Japanese - it takes に, not を. The person you meet is marked with に, not を.	
n5-005		Multi-purpose: location of existence / specific time / direction-destination / indirect object (recipient)	7時に おきます。	I get up at 7 o'clock.	としょかんに ほんを よみます。	Location of an ACTION (where you do something) takes で. Location of EXISTENCE takes に. Reading is an action, so use で.	
n5-006		Direction marker - toward (used with movement verbs)	にほんへ いきます。	I'm going to Japan.	へやへ ねこが います。	へ marks direction of MOVEMENT only. For existence (ある／いる), always use に.	
n5-007		Location of action / means / instrument - where action takes place, by what means, with what tool	としょかんで べんきょうします。	I study at the library.	へやで ねこが います。	Existence (ある／いる) takes に, not で. で is for action verbs only.	
n5-008		With (companion) / and (exhaustive listing) / quotation marker	ともだちと いきます。	I'm going with my friend.	りんごや バナナと たべます。	Don't mix や (non-exhaustive) and と (exhaustive) in the same listing. Pick one: と if you mean 'only these', や if 'these and others (etc.)'.	
n5-009		From (starting point in time / place) / because (reason)	9時から しごとです。	Work starts at 9.	あつい です から、まどを あけてください。	い-adjectives attach から directly (あついから). Don't insert です between them. Polite form あついですから is grammatical but stylistically less natural.	
n5-010		Until / up to (a point in time or place); often paired with から	5時まで しごとです。	I work until 5.	5時から しごとです。 (when meaning 'until 5')	から marks the START of a span; まで marks the END. 5時から = 'from 5'; 5時まで = 'until 5'. They are opposites.	
n5-011		And - non-exhaustive listing (these and others)	りんごや バナナを たべます。	I eat apples, bananas, etc.	りんごや バナナと たべます。	Don't mix や (non-exhaustive) and と (exhaustive) in the same listing. Pick one based on whether you want to imply 'and others'.	
n5-013		Also / too / even (with negation: 'not even / no one / nothing')	わたしも がくせいです。	I am a student too.	わたしはも がくせいです。	も REPLACES は (and を, が). Never write はも or をも. But it STACKS after に, で, と, etc.: とうきょうにも is correct.	
n5-014		Pronouns: this / that-near-listener / that-far / which-one (standalone, no noun follows)	これは ほんです。	This is a book.	これ ほんは おもしろいです。	これ stands alone - never followed by a noun. For 'this book' use この + noun (see n5-015).	これ/それ/あれ (this one / that one / over there) — same proximity rule as この/その/あの but standalone (no noun follows). あれ also indicates "the one we both remember" in conversation ("あの映画、覚えてる？").
