Total priority entries: 392
私	わたし	I, me
私たち	わたしたち	we
あなた	あなた	you
かれ	かれ	he, him (boyfriend - more advanced sense)
かのじょ	かのじょ	she, her (girlfriend - more advanced sense)
かた	かた	person (polite)
人	ひと	person
みなさん	みなさん	everyone (polite)
だれ	だれ	who
どなた	どなた	who (polite)
じぶん	じぶん	oneself
かぞく	かぞく	family
父	ちち	father (own)
母	はは	mother (own)
お父さん	おとうさん	father (someone else's / address form)
お母さん	おかあさん	mother (someone else's / address form)
あに	あに	older brother (own)
あね	あね	older sister (own)
おとうと	おとうと	younger brother
いもうと	いもうと	younger sister
おにいさん	おにいさん	older brother (polite)
おねえさん	おねえさん	older sister (polite)
きょうだい	きょうだい	siblings
りょうしん	りょうしん	parents
そふ	そふ	grandfather (own)
そぼ	そぼ	grandmother (own)
おじいさん	おじいさん	grandfather, elderly man
おばあさん	おばあさん	grandmother, elderly woman
おじさん	おじさん	uncle, middle-aged man
おばさん	おばさん	aunt, middle-aged woman
子ども	こども	child (often written こども in everyday text)
男の子	おとこのこ	boy
女の子	おんなのこ	girl
男	おとこ	man
女	おんな	woman
大人	おとな	adult
ともだち	ともだち	friend
これ	これ	this (thing near speaker)
それ	それ	that (thing near listener)
あれ	あれ	that (over there)
どれ	どれ	which (one)
この	この	this (modifier)
その	その	that (modifier)
あの	あの	that over there (modifier)
どの	どの	which (modifier)
ここ	ここ	here
そこ	そこ	there
あそこ	あそこ	over there
どこ	どこ	where
こちら	こちら	this way / this person (polite)
そちら	そちら	that way
あちら	あちら	that way (over there)
どちら	どちら	which way
こっち	こっち	this way (casual)
そっち	そっち	that way (casual)
あっち	あっち	that way over there (casual)
どっち	どっち	which way (casual)
こんな	こんな	this kind of
そんな	そんな	that kind of
あんな	あんな	that kind of (over there)
どんな	どんな	what kind of
こう	こう	like this
そう	そう	like that
ああ	ああ	like that (over there)
どう	どう	how
何	なに / なん	what
いつ	いつ	when
いくら	いくら	how much (price)
いくつ	いくつ	how many, how old
何時	なんじ	what time
何曜日	なんようび	what day of the week
何月	なんがつ	what month
何日	なんにち	what day
なぜ	なぜ	why
どうして	どうして	why
何で	なんで	why, by what means
一	いち	one
二	に	two
三	さん	three
四	し / よん	four
五	ご	five
六	ろく	six
七	しち / なな	seven
八	はち	eight
九	きゅう / く	nine
十	じゅう	ten
十一	じゅういち	eleven
二十	にじゅう	twenty
百	ひゃく	hundred
千	せん	thousand
万	まん	ten thousand
一万	いちまん	ten thousand
おく	おく	hundred million
とき	とき	time, when
時間	じかん	time, hour
とけい	とけい	clock, watch
今	いま	now
今日	きょう	today
あした	あした	tomorrow
きのう	きのう	yesterday
あさって	あさって	day after tomorrow
おととい	おととい	day before yesterday
あさ	あさ	morning
ひる	ひる	noon, daytime
ゆうがた	ゆうがた	evening
よる	よる	night
ばん	ばん	evening, night
けさ	けさ	this morning
こんばん	こんばん	this evening
こんや	こんや	tonight
午前	ごぜん	A.M.
午後	ごご	P.M.
半	はん	half (past)
分	ふん / ぷん	minute(s)
びょう	びょう	second(s)
日	ひ	day
一日	ついたち	1st of the month
一日	いちにち	one day, a whole day (note: same kanji 一日 with a different reading, distinct from ついたち; context disambiguates)
二日	ふつか	2nd / two days
三日	みっか	3rd / three days
四日	よっか	4th / four days
五日	いつか	5th / five days
六日	むいか	6th / six days
七日	なのか	7th / seven days
八日	ようか	8th / eight days
九日	ここのか	9th / nine days
十日	とおか	10th / ten days
二十日	はつか	20th / twenty days
週	しゅう	week
先週	せんしゅう	last week
今週	こんしゅう	this week
来週	らいしゅう	next week
毎週	まいしゅう	every week
月曜日	げつようび	Monday
火曜日	かようび	Tuesday
水曜日	すいようび	Wednesday
木曜日	もくようび	Thursday
金曜日	きんようび	Friday
土曜日	どようび	Saturday
日曜日	にちようび	Sunday
しゅうまつ	しゅうまつ	weekend
月	つき	month, moon
一月	いちがつ	January
二月	にがつ	February
三月	さんがつ	March
四月	しがつ	April
五月	ごがつ	May
六月	ろくがつ	June
七月	しちがつ	July
八月	はちがつ	August
九月	くがつ	September
十月	じゅうがつ	October
十一月	じゅういちがつ	November
十二月	じゅうにがつ	December
先月	せんげつ	last month
今月	こんげつ	this month
来月	らいげつ	next month
毎月	まいつき	every month
年	とし / ねん	year
きょねん	きょねん	last year
今年	ことし	this year
来年	らいねん	next year
毎年	まいとし / まいねん	every year (まいとし is more common in conversation; まいねん in formal/written contexts)
おととし	おととし	year before last
さらいねん	さらいねん	year after next
たんじょうび	たんじょうび	birthday
毎日	まいにち	every day
まいあさ	まいあさ	every morning
まいばん	まいばん	every night
いつも	いつも	always
よく	よく	often
時々	ときどき	sometimes
たまに	たまに	occasionally
あまり	あまり	not very (with negative)
ぜんぜん	ぜんぜん	not at all (with negative)
すぐ	すぐ	soon, immediately
もう	もう	already (with affirmative); anymore (with negative); more (as in もう一つ)
もうすぐ	もうすぐ	soon, before long
まだ	まだ	still, not yet
はじめて	はじめて	for the first time
さいしょ	さいしょ	first, beginning
さいご	さいご	last, end
つぎ	つぎ	next
後で	あとで	later
前	まえ	before, in front
会う	あう	to meet
言う	いう	to say
行く	いく	to go
うたう	うたう	to sing
おもう	おもう	to think
買う	かう	to buy
書く	かく	to write
聞く	きく	to listen, to ask
きる	きる	to cut (Group 1 exception - looks like Group 2)
つくる	つくる	to make
しる	しる	to know (Group 1 exception - looks like Group 2)
すむ	すむ	to live (reside)
立つ	たつ	to stand
とる	とる	to take, to pick up (general)
とる	とる	to take (a photo or video) - homophone of the above; uses a different kanji (not in N5 syllabus); semantically a specialization of "take"
