glyph	on_yomi	kun_yomi	meaning_en	meaning_hi	stroke_count	radical	mnemonic_summary	mnemonic_visual	mnemonic_reading	etymology_origin	etymology_story
一	いち, いつ	ひと	one	एक	1	一	A single horizontal stroke = ONE.	A single horizontal stroke — ONE finger held up flat.	いち / いつ — counting "ichi, ni, san" starts with ichi. Kun ひと appears in 一つ (hitotsu, one thing).	ideograph	A single horizontal stroke representing the abstract concept of "one" — the most basic counting symbol in the Chinese-Japanese script.
二	に	ふた	two	दो	2	二	Two horizontal strokes = TWO.	Two horizontal strokes — TWO chopsticks resting parallel.	に — "ni" is the second beat in counting. Kun ふた lives in 二つ (futatsu, two things).	ideograph	Two horizontal strokes — a direct doubling of 一. The top stroke is shorter by tradition.
三	さん	み	three	तीन	3	一	Three horizontal strokes = THREE.	Three horizontal strokes — THREE fingers raised.	さん — borrowed everywhere from "Mr/Ms" (-さん) to 三月 (sangatsu, March). Kun み in 三つ (mittsu).	ideograph	Three horizontal strokes — extending the 一 / 二 series. Used since oracle-bone script (~1200 BCE).
四	し	よ, よん	four	चार	5	囗	Four legs (儿) inside a box = FOUR.	A box with two legs sticking down — FOUR legs of a table inside a frame.	し / よん — "shi" sounds like death so よん is preferred when counting people. Both readings are common.	pictograph	Originally a pictograph of nostrils (breath). Loaned to mean "four" by sound association in ancient Chinese.
五	ご	いつ	five	पाँच	4	一	Roman numeral V tilted between two horizontal lines = FIVE.	A capital "I" with extra strokes — FIVE fingers locked in a tight grip.	ご — quick and clean, as in 五月 (gogatsu, May). Kun いつ in 五つ (itsutsu).	compound_ideograph	Two crossed sticks between sky (天) and earth (地) — representing the five elements / five directions in early Chinese cosmology.
六	ろく	む	six	छह	4	八	A lid (亠) over a split (八) = SIX.	A roof over a pair of legs — SIX is the legs of a SIX-pack of beer under a tavern roof.	ろく — like rolling a SIX on a die: "rock and roll" → roku.	pictograph	Originally a pictograph of a hut or shelter. Borrowed for "six" through phonetic loan in oracle-bone period.
七	しち	なな, なの	seven	सात	2	一	A horizontal stroke crossed by a hook = SEVEN.	A cross with a diagonal slash — SEVEN looks like a sliced NIL.	しち / なな — "shichi" can be misheard, so なな is common spoken-language fallback.	ideograph	A cross-stroke indicating "to cut" — borrowed to represent the number seven. The cutting sense survives in 切 (cut).
八	はち	や, よう	eight	आठ	2	八	Two strokes splitting outward like a fan = EIGHT.	Two strokes splaying outward — EIGHT legs of an OCTOPUS spread wide.	はち — sharp like a bee sting (hachi = bee in Japanese!), and 8 hours is はちじかん.	pictograph	Two strokes splaying outward like an object being split — the original meaning was "to divide." The number-eight meaning came from phonetic loan.
九	きゅう, く	ここの	nine	नौ	2	乙	A diagonal hook curling like the digit 9 = NINE.	A hooked stroke meeting a vertical — NINE looks like a fishhook catching a fish.	きゅう / く — "kyuu" used in counting, "ku" used in dates (九月 kugatsu, September).	pictograph	Pictograph of a bent arm/elbow. Borrowed for "nine" by sound association. The hook stroke retains the elbow shape.
十	じゅう, じっ	とお, と	ten	दस	2	十	A plus sign - Roman numeral X rotated = TEN.	A perfect cross — TEN is two roads meeting; tally bars at TEN strokes.	じゅう / じっ — "juu" stretches to mean "complete." Used in 十時 (juuji, 10 o'clock).	ideograph	A simple vertical stroke (originally) meaning "completed counting on one hand" — later the horizontal crossbar was added to distinguish from 一.
