form	reading	gloss_en	gloss_hi	pos	section	example_ja	example_en	audio_path	vocab_id
私	わたし	I, me	मैं	pronoun	1. People - Pronouns and Self	私は 学生です。	I am a student.		n5.vocab.1-people-pronouns-and-se.私
私たち	わたしたち	we	हम	pronoun	1. People - Pronouns and Self	私たちは 友だちです。	We are friends.		n5.vocab.1-people-pronouns-and-se.私たち
あなた	あなた	you	आप	pronoun	1. People - Pronouns and Self	あなたは どなたですか。	Who are you?		n5.vocab.1-people-pronouns-and-se.あなた
かれ	かれ	he, him (boyfriend - more advanced sense)	वह (पुरुष)	pronoun	1. People - Pronouns and Self	かれは とても しんせつです。	He is very kind.		n5.vocab.1-people-pronouns-and-se.かれ
かのじょ	かのじょ	she, her (girlfriend - more advanced sense)	वह (महिला)	pronoun	1. People - Pronouns and Self	かのじょは 日本語が じょうずです。	She is good at Japanese.		n5.vocab.1-people-pronouns-and-se.かのじょ
かた	かた	person (polite)	व्यक्ति (आदर)	noun	1. People - Pronouns and Self	あの かたは 先生です。	That person is a teacher. (polite)		n5.vocab.1-people-pronouns-and-se.かた
人	ひと	person	व्यक्ति	noun	1. People - Pronouns and Self	あの 人は 田中さんです。	That person is Tanaka.		n5.vocab.1-people-pronouns-and-se.人
みなさん	みなさん	everyone (polite)	सभी (आदर)	noun	1. People - Pronouns and Self	みなさん、こんにちは。	Hello everyone.		n5.vocab.1-people-pronouns-and-se.みなさん
だれ	だれ	who	कौन	question-word	1. People - Pronouns and Self	それは だれの かばんですか。	Whose bag is that?		n5.vocab.1-people-pronouns-and-se.だれ
どなた	どなた	who (polite)	कौन (आदर)	question-word	1. People - Pronouns and Self	どなたですか。	Who is it? (polite)		n5.vocab.1-people-pronouns-and-se.どなた
じぶん	じぶん	oneself	स्वयं	pronoun	1. People - Pronouns and Self	じぶんで しゅくだいを します。	I do my homework by myself.		n5.vocab.1-people-pronouns-and-se.じぶん
かぞく	かぞく	family	परिवार	noun	2. People - Family	わたしの かぞくは 四人です。	My family has four people.		n5.vocab.2-people-family.かぞく
父	ちち	father (own)	पिता (अपना)	noun	2. People - Family	父は 先生です。	My father is a teacher.		n5.vocab.2-people-family.父
母	はは	mother (own)	माँ (अपनी)	noun	2. People - Family	母は りょうりが じょうずです。	My mother is good at cooking.		n5.vocab.2-people-family.母
お父さん	おとうさん	father (someone else's / address form)	पिता (आदर)	noun	2. People - Family	田中さんの お父さんは いしゃです。	Tanaka-san's father is a doctor.		n5.vocab.2-people-family.お父さん
お母さん	おかあさん	mother (someone else's / address form)	माँ (आदर)	noun	2. People - Family	やまださんの お母さんは やさしいです。	Yamada-san's mother is kind.		n5.vocab.2-people-family.お母さん
あに	あに	older brother (own)	बड़ा भाई (अपना)	noun	2. People - Family	あには 大学生です。	My older brother is a university student.		n5.vocab.2-people-family.あに
あね	あね	older sister (own)	बड़ी बहन (अपनी)	noun	2. People - Family	あねは 二十さいです。	My older sister is twenty years old.		n5.vocab.2-people-family.あね
おとうと	おとうと	younger brother	छोटा भाई	noun	2. People - Family	おとうとは 七さいです。	My younger brother is seven years old.		n5.vocab.2-people-family.おとうと
いもうと	いもうと	younger sister	छोटी बहन	noun	2. People - Family	いもうとは 学校に 行きます。	My younger sister goes to school.		n5.vocab.2-people-family.いもうと
おにいさん	おにいさん	older brother (polite)	बड़ा भाई (आदर)	noun	2. People - Family	おにいさんは どこに いますか。	Where is your older brother?		n5.vocab.2-people-family.おにいさん
おねえさん	おねえさん	older sister (polite)	बड़ी बहन (आदर)	noun	2. People - Family	おねえさんは とても きれいです。	Your older sister is very pretty.		n5.vocab.2-people-family.おねえさん
きょうだい	きょうだい	siblings	भाई-बहन	noun	2. People - Family	きょうだいは 二人 います。	I have two siblings.		n5.vocab.2-people-family.きょうだい
りょうしん	りょうしん	parents	माता-पिता	noun	2. People - Family	りょうしんと 一いっしょに すんで います。	I live with my parents.		n5.vocab.2-people-family.りょうしん
そふ	そふ	grandfather (own)	दादा (अपने)	noun	2. People - Family	そふは げんきです。	My grandfather is healthy.		n5.vocab.2-people-family.そふ
そぼ	そぼ	grandmother (own)	दादी (अपनी)	noun	2. People - Family	そぼは 八十さいです。	My grandmother is eighty years old.		n5.vocab.2-people-family.そぼ
おじいさん	おじいさん	grandfather, elderly man	दादा / बूढ़ा पुरुष	noun	2. People - Family	おじいさんは 本を 読んで います。	The old man is reading a book.		n5.vocab.2-people-family.おじいさん
おばあさん	おばあさん	grandmother, elderly woman	दादी / बूढ़ी महिला	noun	2. People - Family	おばあさんが あいさつを しました。	The old woman greeted me.		n5.vocab.2-people-family.おばあさん
おじさん	おじさん	uncle, middle-aged man	चाचा / अधेड़ पुरुष	noun	2. People - Family	おじさんは アメリカに すんで います。	My uncle lives in America.		n5.vocab.2-people-family.おじさん
おばさん	おばさん	aunt, middle-aged woman	चाची / अधेड़ महिला	noun	2. People - Family	おばさんは 花が すきです。	My aunt likes flowers.		n5.vocab.2-people-family.おばさん
子ども	こども	child (often written こども in everyday text)	बच्चा	noun	2. People - Family	こうえんで 子どもが あそんで います。	A child is playing in the park.		n5.vocab.2-people-family.子ども
男の子	おとこのこ	boy	लड़का	noun	2. People - Family	こうえんで 男の子が あそんで います。	A boy is playing in the park.		n5.vocab.2-people-family.男の子
